3,D1171,0000-00-00,第一三共株式会社,SXE3-400-05,ネイビー,150,本,0000-00-00,,,0,,0000-00-00,,,0,,0000-00-00,,,0,,0000-00-00,,,0,,0000-00-00,, ,0,,0000-00-00,,0000-00-00,,１面,横, データ,パッド,,,指定有,白,,,,,,,,,レザルタス,＊前回有り。丸Rは2㎜径、ロゴは天地５㎜に指定。 ,,,,1.JPG ,最終軸画像,,開発グループ,小川,506,,ウチダ商事,内田社長,11/29/2012,12/7/2012,12/10/2012,＊福岡営業部入り,,,,,（092）881－4767,,,,PUS-1,150,,0,,0,明朝体,黒,,明朝体,黒,,,, ,,,粗　品,,第一三共株式会社,,,有,PUS-1,150,,0,,0,無,0,,有,,無,無,,無, 
4,作442,0000-00-00,ギフト包装,Ｍ５－８５８ＧＧ１Ｐ,Ｎ．１３,50,Ｐ,0000-00-00,Ｍ５－８５８ＧＧ１Ｐ,７１,50,Ｐ,0000-00-00,,,0,,0000-00-00,,,0,,0000-00-00,,,0,,0000-00-00,, ,0,,0000-00-00, ,10/29/2012,作３７６,無,,不　　要,,,,,,,,,,,,,,, ,,,,,, ,開発,野村,475,日本習字,,,12/3/2012,12/7/2012,0000-00-00,日本習字配送センター（０４７７）,,古賀市花鶴丘,３－１－１,,０９２－９４２－２０３６,得直先直送,無,無,,0,,0,,0,,,,,,,,, ,,,,,,,,有,ＥＸケース,100,Ｆ１８０１,100,,0,,0, ,有,ＥＸケース,有,無,,無,外側から色がわかるように１個ずつ色シールを貼って下さい。 
5,12D1187,0000-00-00,鹿実ラグビー部　第92回大会花園出場記念,SN-118-07W.5,黄緑,200,P,0000-00-00,,,0,,0000-00-00,,,0,,0000-00-00,,,0,,0000-00-00,,,0,,0000-00-00,, ,0,,0000-00-00,,0000-00-00,,２面,横,本体校正,パッド,,角ゴシック,一　任,緑,,,緑,,,,,,,鹿実ラグビー部第92回大会花園出場記念 ,,,,,最終軸画像,,第5グループ,八木,2474,（有）中央文具事務機,,末廣,12/3/2012,12/14/2012,0000-00-00,（有）中央文具事務機,,鹿児島市宇宿,1/29/2016,,099-253-3922,,,,,0,,0,,0,,,,,,,,, ,,,,,,,,無,B-6,200,,0,,0,,0,,無,同送して下さい。,,,,, 
6,Ｌ489,12/4/2012,ピュアモルトレーザー名入れ,ＳＳ－１０２５,４,1,Ｐ,0000-00-00,,,0,,0000-00-00,,,0,,0000-00-00,,,0,,0000-00-00,,,0,,0000-00-00,, ,0,,0000-00-00, ,0000-00-00,,１面,横,不　　要,レーザー,,,一　任,,,,,,,,,,Ｔ．ｍａｔｓｕｎａｇａ,※筆記体 ,,,,,, ,第１Ｇ,佐藤,321,なかがわ文具館,,松本,12/3/2012,12/12/2012,12/13/2012,なかがわ文具館,,,,,,,,,,0,,0,,0,,,,,,,,, ,,,,,,,,無,,0,,0,,0,,0, ,,,,,,, 
7,12D1195,12/4/2012,KYURIN,SN-118-07NW.4,白オレ,250,P,0000-00-00,,,0,,0000-00-00,,,0,,0000-00-00,,,0,,0000-00-00,,,0,,0000-00-00,, ,0,,0000-00-00,,11/18/2011,D-1123,１面,横,不　　要,パッド,その他,明　朝,一　任,ロゴ,黒,,,,,,,,KYURIN,KYURIN ,,,, ,,,第3G,綾部,1062,㈱ヤカGきゅうりん事業部,北九州,髙橋様,12/4/2012,12/11/2012,12/12/2012,㈱ヤカGきゅうりん事業部北九州,803-0822,北九州市小倉北区青葉2丁目,1番１号,,093-582-1481,,無,有,B-9,250,,0,,0,ゴシック体,スミ100％,,ゴシック体,スミ100%,ゴシック体,ｽﾐ100%,, ,,粗　品,,,株式会社ヤカグル❘プ,　　　　　きゅうりん事業部,,有,,0,,0,,0,無,0,,有,B-9箱詰（印刷あり）,無,無,,無, 
8,12D1190,12/4/2012,　本多機工株式会社,SXN250ー07．26,シルバー,200,本,0000-00-00,,,0,,0000-00-00,,,0,,0000-00-00,,,0,,0000-00-00,,,0,,0000-00-00,, ,0,,0000-00-00,,0000-00-00,,１面,, データ,,,,,,,,,,,,,,,　ダック小柳様に頂いたデータ通り作成。 ,,,,2.JPG ,最終軸画像,,第１Ｇ,古賀,134,ミナミ商事,,伊地知,12/4/2012,12/11/2012,12/12/2012, 本多機工㈱　経営企画　伊藤様宛,820-0202,福岡県嘉麻市山野,2055,,,帳合店直送,有,有,,0,,0,,0,一任,黒,,一任,黒,,,, ,,新社屋竣工記念,,,本多機工株式会社,,,有,PUS-1,200,,0,,0,無,0,,有,PUS-1 ,無,無,,無, 
9,12Ｄ1196,12/4/2012,株式会社しんこう,ＭＳＥ５－５００,ホワイト,700,Ｐ,0000-00-00,,,0,,0000-00-00,,,0,,0000-00-00,,,0,,0000-00-00,,,0,,0000-00-00,, ,0,,0000-00-00,,12/2/2011,D1159,１面,横,不　　要,パッド,,指定書体,,黒,,,,,,,,,株式会社しんこう,株式会社しんこう ,,,,,最終軸画像,,第3G,来海,1016,㈱フジモト,,岡田店長,12/4/2012,12/18/2012,12/19/2012,㈱フジモト,803-0801,北九州市小倉北区西港町６１－１５,,,093-561-7531,,有,無,Ｂ－１２,700,,0,,0,前回通り,黒,,指定書体,黒,,,, ,,お年賀,,,株式会社しんこう,,,有,,0,,0,,0,,0,,有,Ｂ－１２箱詰め（印刷あり）,無,無,,無, 
10,Ｌ490,12/4/2012,レーザー名入れ,HN2005,,1,P,0000-00-00,,,0,,0000-00-00,,,0,,0000-00-00,,,0,,0000-00-00,,,0,,0000-00-00,, ,0,,0000-00-00, ,0000-00-00,,１面,横,不　　要,レーザー,,他：書き起こし,一　任,,,,,,,,,,Ｋ．Ｙａｓｕｍａｒｕ,＊筆記体でお願いします。＊印面 安丸国勝（古印体Ａ） ,,,,,, ,第１Ｇ,久保田,701,（有）ポスヤマダ,,社長様,12/4/2012,12/19/2012,12/20/2012,（有）ポスヤマダ,830-0038,久留米市西町,1041-11,,0942-33-8324,得直先直送,無,無,,0,,0,,0,,,,,,,,, ,,,,,,,,無,,0,,0,,0,,0, ,,,,,,無, 
11,12D1191,12/4/2012,ＺＥＮＲＡＫＵＲＥＮ,ＳＥ２－２５４,Ｔ,500,Ｐ,0000-00-00,,,0,,0000-00-00,,,0,,0000-00-00,,,0,,0000-00-00,,,0,,0000-00-00,, ,0,,0000-00-00,,3/8/2024,D306,１面,横, データ,パッド,,指定書体,指定有,,,222,,,,,,,（ロゴ）ＺＥＮＲＡＫＵＲＥＮ, ,,,,3.JPG ,最終軸画像,,第１Ｇ,佐藤,303,㈱オーニシ,,麻生課長,12/4/2012,12/17/2012,12/18/2012,株式会社　ギャップス,811-1324,福岡市南区警弥郷,１－４－１５,,０９２－５８５－６６４８,帳合店直送,,,,0,,0,,0,,,,,,,,, ,,,,,,,,有,Ｂ－９,500,,0,,0,,0,,有,Ｂ－９,,,,有,※伝票に「ナカムラ企画様ご依頼分」と明記下さい。 
12,12D1192,12/4/2012,本多機工株式会社,SXN-250-07M．4,ﾒﾀﾘｯｸｵﾚﾝｼﾞ,170,Ｐ,0000-00-00,SXR-7　,赤,170,Ｐ,0000-00-00,,,0,,0000-00-00,,,0,,0000-00-00,,,0,,0000-00-00,, ,0,,0000-00-00,,0000-00-00,,１面,, データ,,,,,,,,,,,,,,,データ通り　ミナミ商事（古賀担当）と同じ銘入 ,,,,4.JPG ,最終軸画像,,７０１,中原,440,㈱玉置,,森室長,12/4/2012,12/11/2012,12/12/2012,㈱玉置,820-0033,福岡県飯塚市徳前,２４番地２,,0948-22-2850,,有,有,,0,,0,,0,一任,黒,,一任,黒,,,, ,,新社屋竣工記念,,,本多機工株式会社,,,有,PUS-1,170,,0,,0,無,0,,有,PUS-1,無,無,,無,*本体のみ商品手配済*芯を赤に変更して下さい。　（黒芯は同送） 
